run_timestamp,metric_date,metric,direction,previous_value,latest_value,zscore_or_pct
2026-08-08T10:57:12,2015-03-17,Total_Sales,up,471.92,3960.36,5.11
2026-08-08T10:57:12,2015-03-18,Total_Sales,up,3960.36,28106.72,29.75
2026-08-08T10:57:12,2015-05-21,Total_Sales,up,320.1,4264.33,4.81
2026-08-08T10:57:12,2015-06-01,Total_Sales,up,773.7,5188.52,4.68
2026-08-08T10:57:12,2015-07-25,Total_Sales,up,2613.18,8341.29,7.42
2026-08-08T10:57:12,2015-09-08,Total_Sales,up,3523.88,14228.43,10.76
2026-08-08T10:57:12,2015-11-17,Total_Sales,up,1355.93,11544.27,4.74
2026-08-08T10:57:12,2016-03-16,Total_Sales,up,16.78,7230.21,7.88
2026-08-08T10:57:12,2016-08-24,Total_Sales,up,1202.28,7194.78,4.68
2026-08-08T10:57:12,2016-09-17,Total_Sales,up,31.12,11525.01,5.31
2026-08-08T10:57:12,2016-11-08,Total_Sales,up,3073.07,12197.0,8.11
2026-08-08T10:57:12,2017-04-16,Total_Sales,up,2201.86,9335.09,10.22
2026-08-08T10:57:12,2017-05-23,Total_Sales,up,1799.2,10560.98,8.84
2026-08-08T10:57:12,2017-10-02,Total_Sales,up,781.41,18452.97,8.49
2026-08-08T10:57:12,2018-03-13,Total_Sales,up,353.28,4791.35,4.9
2026-08-08T10:57:12,2018-03-23,Total_Sales,up,3332.64,14816.07,12.26
2026-08-08T10:57:12,2018-08-17,Total_Sales,up,80.56,9517.29,7.15
2026-08-08T10:57:12,2018-10-22,Total_Sales,up,4537.2,15158.88,4.84
2026-08-08T10:57:12,2015-03-01,Order_Count,up,1,5,5.34
2026-08-08T10:57:12,2015-09-08,Order_Count,up,7,11,4.61
2026-08-08T10:57:12,2017-08-26,Order_Count,up,4,12,4.62
2026-08-08T10:57:12,2017-09-05,Order_Count,up,7,19,5.33
2026-08-08T10:57:12,2015-03-18,Avg_Order_Value,up,208.44,2555.16,23.43
2026-08-08T10:57:12,2015-05-08,Avg_Order_Value,up,272.84,1799.97,12.65
2026-08-08T10:57:12,2015-07-25,Avg_Order_Value,up,290.35,1668.26,12.91
2026-08-08T10:57:12,2015-10-29,Avg_Order_Value,up,251.76,937.94,6.98
2026-08-08T10:57:12,2016-01-28,Avg_Order_Value,up,893.31,4297.64,16.59
